Genotype,Hyb_class,Mean,MPH,HPH,Freeman,Settler,TAM111,TAM304,Wesley
NXB15_6767,Hybrid,759.2434543,-55.06710172,-70.41750501,-61.58679512,-28.42855691,-53.98266176,-75.65067644,-35.16613716
NXB15_6091,Hybrid,944.3254475,-51.66109669,-67.22618991,-52.22274663,-10.98147157,-42.76494149,-69.71500283,-19.36148255
NXB15_7170,Hybrid,962.3201503,-50.55000647,-66.42677874,-51.31232165,-9.285168704,-41.67429222,-69.13790356,-17.82486596
NXB15_7146,Hybrid,1021.863845,-49.08815035,-64.34943094,-48.2997647,-3.672175737,-38.06538083,-67.22830699,-12.74026796
NXB15_6326,Hybrid,887.1992833,-48.37308287,-63.20510908,-55.11299091,-16.36657168,-46.22732764,-71.54706795,-24.23964103
NXB15_6195,Hybrid,841.2823191,-48.33860364,-56.91729758,-57.43611631,-20.69501649,-49.0103302,-73.01964834,-28.16061545
NXB15_7399,Hybrid,1041.759204,-46.1390276,-63.35143918,-47.29317781,-1.796704115,-36.8595338,-66.59025272,-11.04134916
NXB15_6535,Hybrid,722.2260153,-45.87690805,-61.08491569,-63.45965746,-31.91807205,-56.22626887,-76.83784453,-38.32715692
NXB15_6166,Hybrid,675.8152954,-43.64930412,-50.7725838,-65.80776396,-36.29306163,-59.03919769,-78.32625991,-42.29029448
NXB15_7050,Hybrid,1310.83552,-43.63759833,-58.59230586,-33.67951598,23.56825634,-20.55096275,-57.96083849,11.93580899
NXB15_6451,Hybrid,999.4705452,-41.62542926,-53.59582799,-49.43273254,-5.783120243,-39.42262672,-67.94647151,-14.65249273
NXB15_6434,Hybrid,929.0579981,-41.56131635,-56.86499481,-52.9951888,-12.42068501,-43.69029341,-70.20463769,-20.66521157
NXB15_7011,Hybrid,997.2975136,-40.39194705,-47.77408256,-49.54267502,-5.987964957,-39.554333,-68.01616174,-14.83805381
NXB15_7154,Hybrid,1125.583379,-38.81464744,-60.73088584,-43.05217291,6.105131774,-31.77899554,-63.90196881,-3.883374949
NXB15_6522,Hybrid,893.9019148,-37.95932662,-51.83465059,-54.7738776,-15.73473613,-45.82108475,-71.33211115,-23.66728511
NXB15_7151,Hybrid,1313.624277,-37.00439294,-54.17055489,-33.53842144,23.83114355,-20.38193766,-57.87140162,12.17394856
NXB15_6775,Hybrid,1170.189719,-36.99247897,-54.40575577,-40.79535733,10.3100282,-29.07542925,-62.47142082,-0.074318341
NXB15_7047,Hybrid,1324.441579,-36.80259135,-58.16250704,-32.99113026,24.85085591,-19.72630677,-57.52448524,13.09766742
NXB15_6810,Hybrid,671.0533842,-36.60693594,-48.54651028,-66.04868836,-36.74195171,-59.32781457,-78.47897682,-42.69692703
NXB15_7147,Hybrid,1247.907532,-36.44719131,-56.46326674,-36.86329802,17.636237,-24.36499428,-59.97897103,6.562217068
NXB15_6622,Hybrid,1544.585806,-36.32011395,-36.69451087,-21.8531412,45.60314546,-6.383483351,-50.46434797,31.89638149
NXB15_6771,Hybrid,1158.987815,-36.09724418,-54.84221691,-41.36210707,9.254060678,-29.75437063,-62.83067158,-1.030879375
NXB15_7035,Hybrid,1477.82967,-35.77838635,-53.31716447,-25.2306048,39.31025881,-10.42953693,-52.60525119,26.19589353
NXB15_7166,Hybrid,1396.743539,-35.36997241,-51.27070769,-29.33308093,31.66652959,-15.34412378,-55.20572462,19.27172837
NXB15_6443,Hybrid,1041.925675,-35.17655028,-51.62468922,-47.28475538,-1.781011451,-36.8494441,-66.58491392,-11.02713377
NXB15_6763,Hybrid,1250.909201,-34.79800176,-51.26067277,-36.71143144,17.91919465,-24.18306476,-59.882706,6.818537702
NXB15_6758,Hybrid,1315.020994,-34.61626459,-48.76267719,-33.46775587,23.96280757,-20.2972834,-57.8266082,12.29321802
NXB15_7034,Hybrid,1410.691085,-34.59326985,-55.43799042,-28.62741803,32.98131996,-14.49877051,-54.75841973,20.46274724
NXB15_7266,Hybrid,1112.921666,-33.9996428,-49.97107809,-43.69278031,4.91155275,-32.54641516,-64.30803638,-4.964593035
NXB15_7287,Hybrid,1002.706524,-33.97777369,-54.92555503,-49.26901123,-5.478074867,-39.22649576,-67.84269201,-14.37616367
NXB15_7155,Hybrid,1423.643845,-33.82913879,-50.33221553,-27.97208539,34.20233505,-13.71371069,-54.34301814,21.56881862
NXB15_6070,Hybrid,1351.433726,-32.91895706,-53.09706794,-31.62548809,27.39531897,-18.09032722,-56.65883336,15.40260026
NXB15_6191,Hybrid,1042.895586,-32.73008284,-46.59253002,-47.23568363,-1.689581014,-36.79065829,-66.55380836,-10.9443104
NXB15_7171,Hybrid,1563.281354,-32.62624948,-45.46057175,-20.90725763,47.36551472,-5.250356238,-49.86477225,33.49284514
NXB15_6067,Hybrid,1477.950358,-32.3145569,-48.70617487,-25.22449869,39.32163571,-10.42222207,-52.60138066,26.20619943
NXB15_7411,Hybrid,1331.144113,-31.79538161,-53.17102475,-32.65202189,25.48268227,-19.32006979,-57.30953157,13.67001502
NXB15_7426,Hybrid,1848.585587,-31.64898281,-34.96769595,-6.472559657,74.26022888,12.04178019,-40.71492046,57.85574929
NXB15_7283,Hybrid,1280.803589,-30.96011186,-42.42431911,-35.19895314,20.73724262,-22.37118196,-58.92397778,9.371300754
NXB15_6431,Hybrid,1140.817825,-30.89622965,-47.0332499,-42.28140051,7.541234109,-30.85564394,-63.41339237,-2.582464169
NXB15_6071,Hybrid,1435.996139,-30.82602645,-50.16224029,-27.34713278,35.3667461,-12.96504481,-53.94687381,22.62361454
NXB15_7407,Hybrid,1503.39069,-30.05056337,-47.11147747,-23.93736916,41.71981411,-8.880297228,-51.78549629,28.37861852
NXB15_6638,Hybrid,1363.49588,-30.00236605,-44.11655651,-31.01521482,28.53237948,-17.35924656,-56.27199396,16.43262035
NXB15_7391,Hybrid,1453.157362,-29.91358877,-48.87866049,-26.4788769,36.98447954,-11.92491227,-53.39650465,24.08905807
NXB15_7251,Hybrid,985.3177043,-29.6215101,-44.46698994,-50.14878215,-7.117263114,-40.28042281,-68.40036031,-15.86104229
NXB15_6086,Hybrid,1685.520812,-29.59755191,-41.50222348,-14.7226678,58.88863602,2.158511705,-45.94449068,43.93120482
NXB15_6330,Hybrid,1308.247175,-29.57698162,-45.74295423,-33.81047081,23.32426145,-20.7078409,-58.043848,11.71478325
NXB15_7238,Hybrid,1088.074488,-29.31106523,-38.67556501,-44.9498998,2.569289033,-34.05238929,-65.10489801,-7.086361131
NXB15_7010,Hybrid,1200.987668,-29.25704477,-37.10735069,-39.23716422,13.21325198,-27.20878209,-61.48371495,2.555602253
NXB15_6991,Hybrid,1082.095207,-29.21696152,-43.33344448,-45.2524159,2.005641341,-34.41479035,-65.29665662,-7.596948253
NXB15_6430,Hybrid,1394.219558,-29.01356617,-35.26812319,-29.46077937,31.42860199,-15.49710092,-55.28666998,19.05619877
NXB15_7159,Hybrid,1545.613785,-28.97167166,-46.07695414,-21.80113157,45.70004974,-6.321178094,-50.43138016,31.98416341
