Genotype,Mean,SE,Class,Parent1,Parent2,Male-P1,Female-P2,MPV,HPV,MPH,HPH,TAM111,FREEMAN,RUTH,WESLEY
NXB15-6006,2656.622983,202.0707133,Hybrid,TX11D3049,NE07531,2494.817283,2411.29821,2453.057747,2494.817283,8.298428206,6.485673341,-4.002131179,-0.008227758,6.688808637,12.97297806
NXB15-6007,2735.82401,202.2444931,Hybrid,TX10D2363,NE07531,2608.503863,2411.29821,2509.901037,2608.503863,9.001270166,4.880964465,-1.140178286,2.972794065,9.869487004,16.3410043
NXB15-6010,2486.003077,201.6961824,Hybrid,TX12M4063,NE07531,2037.988611,2411.29821,2224.643411,2411.29821,11.74838471,3.09811812,-10.16753268,-6.430135143,-0.163211611,5.717361061
NXB15-6011,2390.476414,202.1305973,Hybrid,TX11D3129,NE07531,2156.644442,2411.29821,2283.971326,2411.29821,4.66315345,-0.863509802,-13.61941733,-10.02563229,-3.999520321,1.655086628
NXB15-6014,2399.522263,202.0683898,Hybrid,TX09D1172,NE07531,2360.651539,2411.29821,2385.974874,2411.29821,0.567792609,-0.488365422,-13.29254283,-9.685158478,-3.636242981,2.039761679
NXB15-6015,2511.09255,202.5532333,Hybrid,TX11D3008,NE07531,2102.459202,2411.29821,2256.878706,2411.29821,11.26395687,4.138614611,-9.260917034,-5.485800582,0.844370582,6.784291721
NXB15-6018,2614.395381,202.2410751,Hybrid,TX10D2230,NE07531,2499.968092,2411.29821,2455.633151,2499.968092,6.465225889,4.577149986,-5.528038223,-1.597618767,4.992966775,11.17724795
NXB15-6019,2604.941992,202.1950199,Hybrid,TX11D3026,NE07531,2294.282432,2411.29821,2352.790321,2411.29821,10.71713314,8.030685773,-5.86963927,-1.953431813,4.613322839,10.77524228
NXB15-6022,2616.492786,201.6872188,Hybrid,TX11D3112,NE07531,2747.390351,2411.29821,2579.344281,2747.390351,1.440230567,-4.764432757,-5.452247895,-1.518675251,5.077197602,11.26644013
NXB15-6023,2618.460232,201.6709379,Hybrid,TX12M4004,NE07531,2609.97632,2411.29821,2510.637265,2609.97632,4.294645383,0.325057075,-5.381153619,-1.444623162,5.156209394,11.35010586
NXB15-6026,2720.750136,202.3422494,Hybrid,TX10D2063,NE07531,2360.300452,2411.29821,2385.799331,2411.29821,14.03935362,12.83341582,-1.684877244,2.405433406,9.264126868,15.69998732
NXB15-6027,2569.877948,202.6171569,Hybrid,TX12M4065,NE07531,2426.342153,2411.29821,2418.820181,2426.342153,6.245101151,5.915727737,-7.136689025,-3.273196012,3.205166278,9.284142678
NXB15-6030,2580.369266,202.5384174,Hybrid,NE10589,NE07531,2556.327067,2411.29821,2483.812639,2556.327067,3.887436023,0.940497755,-6.757582116,-2.878316707,3.62649297,9.730286296
NXB15-6031,2509.219733,200.5477409,Hybrid,Freeman,NE07531,2656.841581,2411.29821,2534.069896,2656.841581,-0.980642362,-5.556290952,-9.328591855,-5.556290952,0.769159059,6.704650099
