Year,Genotype,Cross.direction,Mean
2017,NXB15-6006,TX-NE,2656.622983
2017,NXB15-6007,TX-NE,2735.82401
2017,NXB15-6010,TX-NE,2486.003077
2017,NXB15-6011,TX-NE,2390.476414
2017,NXB15-6014,TX-NE,2399.522263
2017,NXB15-6015,TX-NE,2511.09255
2017,NXB15-6018,TX-NE,2614.395381
2017,NXB15-6019,TX-NE,2604.941992
2017,NXB15-6022,TX-NE,2616.492786
2017,NXB15-6023,TX-NE,2618.460232
2017,NXB15-6026,TX-NE,2720.750136
2017,NXB15-6027,TX-NE,2569.877948
2017,NXB15-6030,NE-NE,2580.369266
2017,NXB15-6031,NE-NE,2509.219733
2017,NXB15-6034,NE-NE,2426.08297
2017,NXB15-6035,NE-NE,2469.983151
2017,NXB15-6038,NE-NE,2434.616461
2017,NXB15-6039,NE-NE,2382.370744
2017,NXB15-6042,NE-NE,2409.49839
2017,NXB15-6043,NE-NE,2284.167927
2017,NXB15-6046,NE-NE,2397.370503
2017,NXB15-6050,NE-NE,2397.287155
2017,NXB15-6054,NE-NE,2070.160111
2017,NXB15-6066,TX-NE,2520.096507
2017,NXB15-6070,TX-NE,2246.162785
2017,NXB15-6071,TX-NE,2265.813344
2017,NXB15-6074,TX-NE,2338.730306
2017,NXB15-6075,TX-NE,2612.402598
2017,NXB15-6078,TX-NE,2396.330489
2017,NXB15-6079,TX-NE,2523.918159
2017,NXB15-6082,TX-NE,2370.900876
2017,NXB15-6083,TX-NE,2521.12276
2017,NXB15-6086,TX-NE,2379.145845
2017,NXB15-6087,TX-NE,2172.258027
2017,NXB15-6094,TX-TX,2207.193871
2017,NXB15-6095,TX-TX,2170.584888
2017,NXB15-6098,TX-TX,2426.336729
2017,NXB15-6099,TX-TX,2009.333996
2017,NXB15-6102,TX-TX,2568.783811
2017,NXB15-6103,TX-TX,2590.820897
2017,NXB15-6106,TX-TX,2222.15574
2017,NXB15-6107,TX-TX,2454.670342
2017,NXB15-6110,TX-TX,2404.910275
2017,NXB15-6111,TX-TX,2330.984114
2017,NXB15-6114,TX-TX,2254.605413
2017,NXB15-6126,TX-NE,2385.42259
2017,NXB15-6127,TX-NE,2466.917403
2017,NXB15-6130,TX-NE,2444.316908
2017,NXB15-6131,TX-NE,2263.218359
2017,NXB15-6134,TX-NE,2534.365527
2017,NXB15-6135,TX-NE,2562.105977
2017,NXB15-6138,TX-NE,2529.480019
2017,NXB15-6139,TX-NE,2646.233783
2017,NXB15-6142,TX-NE,2671.69378
2017,NXB15-6143,TX-NE,2447.648033
2017,NXB15-6146,TX-NE,2376.515343
2017,NXB15-6147,TX-NE,2659.164821
2017,NXB15-6151,NE-NE,2660.615965
2017,NXB15-6154,NE-NE,2348.644848
2017,NXB15-6155,NE-NE,2416.408026
2017,NXB15-6158,NE-NE,2514.687614
2017,NXB15-6159,NE-NE,2336.004135
2017,NXB15-6162,NE-NE,2339.54341
2017,NXB15-6163,NE-NE,2485.002407
2017,NXB15-6166,NE-NE,2261.69037
2017,NXB15-6167,NE-NE,2262.782697
2017,NXB15-6170,NE-NE,2407.135356
2017,NXB15-6171,NE-NE,2231.009203
2017,NXB15-6174,NE-NE,2331.055611
2017,NXB15-6175,NE-NE,2220.272942
2017,NXB15-6203,TX-NE,1948.857724
2017,NXB15-6214,TX-TX,2299.101267
2017,NXB15-6219,TX-TX,2355.866793
2017,NXB15-6226,TX-TX,2238.543424
2017,NXB15-6247,TX-NE,2157.109089
2017,NXB15-6251,TX-NE,2147.669157
2017,NXB15-6254,TX-NE,2429.097796
2017,NXB15-6262,TX-NE,2486.838497
2017,NXB15-6266,TX-NE,2383.927811
2017,NXB15-6267,TX-NE,2237.871471
2017,NXB15-6338,TX-TX,2246.608402
2017,NXB15-6339,TX-TX,2449.692915
2017,NXB15-6346,TX-TX,2489.590198
2017,NXB15-6351,TX-TX,2184.260285
2017,NXB15-6366,TX-NE,2549.214555
2017,NXB15-6367,TX-NE,2345.357941
2017,NXB15-6370,TX-NE,2350.601524
2017,NXB15-6371,TX-NE,2858.461056
2017,NXB15-6374,TX-NE,2480.135611
2017,NXB15-6375,TX-NE,2585.227863
2017,NXB15-6378,TX-NE,2396.134103
2017,NXB15-6379,TX-NE,2387.40277
2017,NXB15-6382,TX-NE,2133.897011
2017,NXB15-6383,TX-NE,2313.658818
2017,NXB15-6386,TX-NE,2744.804123
2017,NXB15-6387,TX-NE,2819.766061
2017,NXB15-6390,NE-NE,2213.252088
2017,NXB15-6391,NE-NE,2446.412687
2017,NXB15-6394,NE-NE,2380.855666
2017,NXB15-6395,NE-NE,2318.216928
